Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Phoenix Indian Industrial Schoo,"Phoenix Training School, Phoenix Training and Industrial School, Peel Institute, Phoenix School, Phoenix Boarding School",,"Phoenix, Arizona",AZ,1891,1990,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Pierre Indian School,"Pierre Indian School Learning Center, Pierre Indian Learning Center, Pierre Indian Learning Center",,"Pierre, South Dakota, 57501",SD,1891,,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Pima Boarding and Day School,"Pima Agency Boarding School, Pima Central Day School, Sacaton Boarding School, Sacaton Central School",,"Sacaton, Arizona",AZ,1880,1970,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pine Point Boarding and Day School,Pine Point Experimental School,,"Ponsford, Minnesota",MN,1892,1936,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pine Ridge Boarding School,Oglala Pine Ridge Boarding School; Oglala Indian Training School; Oglala Community School; Pine Ridge School*,,"Pine Ridge, South Dakota",SD,1883,,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pine Springs Boarding School,Pine Springs Day School,Fraziers Well Day School,"Houck, AZ",AZ,1930,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pinedale Boarding School,"Pinedale School, Pinedale Day School",,"Pinedale, New Mexico",NM,1917,1975,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pinon Boarding School,"Pinon Dormitory, Pinon Day School, Pinon Community School*",,"Pinon, Arizona",AZ,1935,,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pipestone Indian School,,,"Pipestone, Minnesota",MN,1893,1959,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Plum Creek Boarding School,,,"Plum Creek, South Dakota",SD,1895,1902,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ponca Boarding School,Ponca Industrial Boarding School,,"White Eagle, Oklahoma",OK,1882,1919,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pottawatomie Boarding School,Pottawatomie Boarding School,,"Hoyt, Kansas",KS,1866,1908,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pottawatomie Mission Boarding School,"Potawatomi Baptist Manual Labor School, Pottawatomie Training School, Baptist Mission School",,"Topeka, Kansas",KS,1848,1873,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Presbyterian School for Indian Girls,"Henry Kendall College, Minerva Home",,"Muskogee, Oklahoma",OK,1891,1907,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Pryor Creek Boarding School,Pryor Boarding School,,"Pryor, Montana",MT,1903,1920,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pueblo Bonito School,"Crownpoint Community School, Pueblo Bonito Boarding School, Eastern Navajo","Crownpoint Boarding School, T'iis Ts'ozi Bi' Olta'","Crownpoint, New Mexico",NM,1912,1962,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Crownpoint Boarding School,"T'iis Ts'ozi Bi'Olta', Crownpoint Community School","Pueblo Bonito School, T'iis Ts'ozi Bi' Olta'","Crownpoint, New Mexico",NM,1963,2010,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
T'iis Ts'ozi Bi' Olta',Crownpoint Community School,"Crownpoint Boarding School, Pueblo Bonito School","Crownpoint, New Mexico 87313",NM,2010,,BIE Operated,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pueblo Pintado Boarding School,"Pueblo Pintado School, Pueblo Pintado Day School, Pueblo Pintado Community School",,"Cuba, New Mexico",NM,1935,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Puyallup Indian School,Puyallup Industrial School; Cushman Indian Trades School; Puyallup Indian School; Puyallup Boarding School,Cushman Indian School,"Squaxin Island, Washington",WA,1857,1869,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pyramid Lake Boarding and Day School,"Pyramid Lake Sanatorium, Nevada Day School, Pyramid Lake High School",,"Nixon, Nevada",NV,1879,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Quapaw Boarding School,"Quapaw, Ottawa Industrial Boarding School, Quapaw Mission School, Quapaw Manual Labor School",,"Quapaw, Oklahoma",OK,1872,1900,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Quinaielt Boarding and Day School,"Quinailt School, Taholah (Quinaielt) Day School, Taholah Day School, Tahola Day School",,"Taholah, Washington",WA,1870,1920,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rainy Mountain Boarding School,,,"Gotebo, Oklahoma",OK,1893,1920,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ramona Indian School,"Ramona Indian Girls School, Ramona Industrial School for Indian Girls, Ramona Boarding School, Ramona School, University of New Mexico",,"Santa Fe, New Mexico",NM,1885,1895,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Rapid City Indian School,"Rapid City Indian School and Sanatorium, Rapid City Training, Sioux Sanatorium, Sioux San Hospital*",,"Rapid City, South Dakota",SD,1898,,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Red Cloud Indian School*,"Holy Rosary Mission, Holy Rosary Mission Boarding School, Holy Rosary Mission School",,"Pine Ridge, South Dakota",SD,1888,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Red Lake Boarding and Day School,,,"Red Lake, Minnesota",MN,1877,1935,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Red Moon Boarding School,Red Moon Day School,,"Hammon, Oklahoma",OK,1897,1922,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Red Rock Boarding School,Red Rock Day School*,,"Red Valley, Arizona",AZ,1932,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rice Station Boarding and Day School,"Rice Indian School, Rice Station Day School",San Carlos Boarding and Day,"San Carlos Indian Reservation, Gila Co., Arizona",AZ,1900,1941,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Riverside Indian School,"Riverside Boarding, Wichita Caddo School",,"Anadarko, Oklahoma",OK,1871,,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rock Point Boarding and Day School,"Tsé Nitsaa Deez'áhí Diné Bi'ólta', Rock Point Community School*",,"Rock Point, Arizona",AZ,1935,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rocky Ridge Boarding School,Rocky Ridge Day and Boarding School,,"Kykotsmovi Village, Arizona",AZ,1968,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rosebud Agency Boarding and Day School,"Rosebud Day School, Rosebud Community",,"Mission, South Dakota",SD,1895,1951,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rough Rock Demonstration School,Rough Rock Day School; Rough Rock Community School*,,"Chinle, Arizona",AZ,1935,,"Tribally-Controlled, BIE School",Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
Round Valley Boarding School,,,"Covelo, California",CA,1860,1924,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sac and Fox Indian Boarding School,"Sac and Fox Mission School, Sac and Fox Manual Labor School, Sac and Fox Industrial and Boarding, Sac and Fox of the Mississippi Government Boarding School",,"Stroud, Oklahoma",OK,1872,1924,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sacred Heart Mission (St. Mary’s),"St. Mary's Academy, St. Mary's Boarding, Sacred Heart Mission Boarding, St. Mary's Convent",,"Sacred Heart, Oklahoma",OK,1946,,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sacred Heart Mission (St. Benedict’s),"St. Benedict's Industrial School, Sacred Heart Mission Boarding, St. Benedict's College, Sacred Heart College",,"Sacred Heart, Oklahoma",OK,1880,1926,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Saint Mary’s Catholic Indian Boarding School,"Odanah St. Mary's Mission Boarding School, Odanah Boarding and Day School, St. Mary's Catholic Church*",,"New Odanah, Wisconsin",WI,1883,,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
San Carlos Boarding and Day School,"San Carlos Agency Boarding School, San Carlos Day School",Rice Station,"San Carlos, Arizona",AZ,1887,1929,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
San Juan Training School,"San Juan Boarding School, San Juan Indian School",Shiprock Boarding School,"Shiprock, New Mexico",NM,1906,1966,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sanostee Boarding School,"Saynostee Day School, Sanostee Day School",,"Sanostee, New Mexico",NM,1933,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Santa Fe Indian School,"Dawes Institute, Santa Fe Industrial Training School, Santa Fe Indian Industrial School, Santa Fe Training School",,"Santa Fe, New Mexico",NM,1890,,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Santa Rosa Boarding School,Santa Rosa Day School*,,"Sells, Arizona",AZ,1916,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Santee Industrial School,"Santee and Flandreau Boarding School, Santee Agency Boarding School",,"Niobrara, Nebraska",NE,1874,1909,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Santee Normal Training School,"Congregational Church and Manse, Santee Training School, Pilgrim Congregational Church*",,"Santee, Nebraska",NE,1870,1937,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Seba Dalkai Boarding School*,"Seba Dalkai Day School, Seba Dalkai School",,"Winslow, Arizona",AZ,1935,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Seger Indian Training School,Seger Colony Boarding,,"Colony, Oklahoma",OK,1893,1941,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Seneca Boarding School,"Seneca Indian School; Wyandotte Mission; Seneca, Shawnee, and Wyandotte Industrial Boarding School; Seneca Industrial Boarding School; Seneca, Shawnee, and Wyandotte Boarding; Seneca (Quapaw)",,"Wyandotte, Oklahoma",OK,1872,1980,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Seneca Mission and School,"Buffalo Creek School, Buffallo Creek Mission",,"Buffalo, New York",NY,1818,1845,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sequoyah Orphan Training School,"Sequoyah Vocational School, Sequoyah Indian High School, Sequoyah Training",,"Tahlequah, Oklahoma",OK,1871,,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Seward Sanitarium,,,"Seward, AK",AK,1946,1950,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
Shawnee Boarding School,,,"Shawnee, Oklahoma",OK,1860,1921,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Shawnee Methodist Indian Mission,,Shawnee Methodist Mission and Indian Manual Labor School,"Kansas City, Kansas",KS,1838,1839,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Shawnee Methodist Mission and Indian Manual Labor School,,Shawnee Methodist Indian Mission,"Fairway, Kansas",KS,1839,1862,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sherman Institute,"Riverside, Sherman Indian High School*",Perris Indian School,"Riverside, California",CA,1903,,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Shiprock Indian Boarding School,"Shiprock Agricultural School, Shiprock Agricultural High School","Shiprock Northwest High School, Atsá Biyáázh Community School, Shiprock Reservation Dormitory","Shiprock, New Mexico",NM,1905,1980,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Shonto Boarding School,"Shonto Indian School, Shonto Day School, Shonto Preparatory School*",,"Shonto, Arizona",AZ,1933,,Tribally-Controlled,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Shoshone Boarding and Day School,Shoshone and Bannock Boarding and Day School,Arapaho Boarding and Day School,"Fort Washakie, Wyoming",WY,1878,1883,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Shoshone-Episcopal Mission Boarding School,"Shoshone-Episcopal Mission Boarding School, Shoshone School for Indian Girls, Robert's School, Shoshoni Mission School",Wind River Boarding School; Shoshone Day School,"Fort Washakie, Wyoming",WY,1883,1945,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Siletz Boarding School,"Liberty Industrial School, Siletz Industrial Boarding School, Siletz Training",,"Siletz, Oregon",OR,1873,1919,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
Silver Ridge Seminary,,,"Silver Ridge, Nebraska",NE,1874,1886,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Simnasho Boarding and Day School,Sin-e-ma-sho Boarding School,,"Simnasho, Oregon",OR,1882,1896,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sisseton Agency Boarding and Day School,"Sisseton Training School, Sisseton Industrial School",,"Sisseton, South Dakota",SD,1873,1920,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sisters of Loretto School,"Bernalillo Boys' Boarding School, Bernalillo Girls' Boarding School, Sisters of Loretta, Loretto Indian School, Bernalillo Boarding School, Sisters of Loretto School at Bernalillo, Bernalillo, Lorett",,"Bernalillo, New Mexico",NM,1885,1937,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sitka Industrial Training School,"Sitka Mission, Industrial Home for Boys, Sheldon Jackson Institute, Sheldon Jackson School, Sheldon Jackson College, Sitka No 2",,"Sitka, Alaska",AK,1878,2007,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
S'Kokomish Boarding and Day School,Skokomish School,,"Olympia, Washington",WA,1866,1918,Government,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Southern Ute Boarding School (Ignacio),"Ignacio Indian Boarding School, Consolidated Ute - Ignacio, Ignacia, Ute Vocational, Southern Ute School, Southern Ute Agency Boarding School",,"Ignacio, Colorado",CO,1886,1981,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Spencer Academy,"National School of the Choctaw Nation, Choctaw Academy",,"Fort Townsend, Oklahoma",OK,1844,1900,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Spring Place Mission School,"Springplace Moravian Mission School, Spring-place",,"Spring Place, Georgia",GA,1801,1833,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Agnes Academy,"St. Agnes Academy and Boarding School, St. Agnes Boarding School for Boys",,"Ardmore, Oklahoma",OK,1897,1932,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Agnes Mission,"St. Agnes Academy for Girls, St. Agnes’, St. Agnes Mission and St. Agnes, Antlers",,"Antlers, Oklahoma",OK,1897,1945,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Anthony's Industrial School for Indians,"San Diego: Industrial Training School, San Diego: Industrial Boarding School, San Diego, St. Anthony's Mission Boarding School",,"San Diego, California",CA,1886,1907,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Augustine School for Apache Children at Fort Marion,"St. Augustine Day School, Fort Marion, Castillo de San Marcos",,"Augustine, Florida",FL,1886,1887,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Benedict Mission School,"Indian Farm School, St. Benedict Mission Farm School, Martin Kenel Boarding School, Standing Rock Agricultural Boarding School, Kenel",,"Kenel, South Dakota",SD,1879,1961,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
St. Benedict's Academy at Saint Joseph,"Saint Benedict’s Monastery, St. Benedict Mission and School, College of Saint Benedict*",,"St Joseph, Minnesota",MN,1884,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
St. Benedict's at White Earth Mission,"White Earth Mission Boarding School, St. Benedict's Mission Boarding School, St. Benedicts Orphan School",,"White Earth, Minnesota",MN,1887,1945,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Boniface Indian School,"St. Boniface Industrial, Saint Boniface Mission Boarding School",,"Banning, California",CA,1890,1974,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Catherine Indian School,"St. Catherine's Indian School, St. Catherine Industrial School, St. Catherine's Boarding School, St. Catherine's Mission Boarding School, Santa Fe Boarding School",,"Santa Fe, New Mexico",NM,1887,2006,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Elizabeth's Boarding School,"St. Elizabeth's Convent, St. Elisabeth's Academy",,"Purcell, Oklahoma",OK,1888,1948,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Elizabeth's School,St. Elizabeth's Mission School,,"Wakpala, South Dakota",SD,1886,1967,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Francis Indian Mission School,St. Francis Indian School*,,"St Francis, South Dakota",SD,1886,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Francis Xavier's Industrial School,St. Francis Xavier's Academy,,"Avoca, Minnesota",MN,1884,1900,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. George Indian Residential School,St. George's Mission School; St. George's Industrial School; St. George's Boarding School; St. George's Catholic Boarding School,,"King County, Washington",WA,1888,1936,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. George Southern Utah Boarding School,"Shebit School, Southern Utah Boarding School","Shivwits Indian School, Panguitch Boarding School","St. George, Utah",UT,1901,1904,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Ignatius Mission and School,"St. Ignatius Industrial School, Academy of the Holy Family for Young Ladies, Flathead Agency Boy's Boarding, Flathead Agency Girls' Boarding",,"St Ignatius, Montana",MT,1864,1973,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. John's Indian Industrial School,"St. John Abbey, College of St. John's, Saint John's University",,"Collegeville, Minnesota",MN,1885,1896,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
St. John's School for Girls,"St. John's William Welsh Memorial School, St. John's Boarding School, St. John's Mission",Fort Bennett Boarding School,"North Stanley, South Dakota",SD,1889,1902,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. John's School for Osage Indian Boys,St. John's Boarding,,"Blackburn, Oklahoma",OK,1888,1913,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Joseph Industrial School,"Menominee (St. Joseph's), St. Joseph's Boarding, Green Bay",,"Keshena, Wisconsin",MN,1883,1952,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Joseph's Boarding School,North Yakima: St. Joseph's Boarding School,,"North Yakima, Washington",WA,1888,1889,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Joseph's Indian Normal School,Saint Joseph's College,,"Rensselaer, Indiana",IN,1888,1896,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Joseph's Indian School*,,Chamberlain Indian School,"Chamberlain, South Dakota",SD,1927,,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Joseph's Mission School,Slickpoo (St. Joseph),,"Culdesac, Idaho",ID,1874,1968,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Joseph's School,"St. Joseph's Catholic Boarding School, St. Joseph Orphan School, St. Joseph Convent and Academy, St. Joseph's Academy",,"Chickasha, Oklahoma",OK,1899,1940,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Labre Indian Mission Boarding School,"St. Labre at Busby, St. Labre Indian School*",,"Ashland, Montana",MT,1884,,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Louis School for Osage Indian Girls,"St. Louis Academy, St. Louis Boarding, St. Louis's, St. Louis Mission Boarding School",,"Pawhuska, Oklahoma",OK,1887,1949,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mark's Episcopal Mission School,"St. Mark's Church, Skagway",,"Nenana, Alaska",AK,1907,1955,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary Mission and School,St. Mary's College; Immaculate Conception Church,Sugar Creek Catholic Mission and School,"St Marys, Kansas",KS,1847,1967,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
