Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Keams Canyon Boarding School,"Moquis Indian School, Moqui Industrial School, Moquis Boarding School, Keam's Canyon (Moqui Boarding), Keam's Cañon, Keam's Canyon (Hopi), Hopi Boarding School, Hopi (Moqui) Training School, Keams Canyon Elementary School",,"Keams Canyon, Arizona",AZ,1875,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kickapoo Boarding School,"Kickapoo Industrial School, Kickapoo Training School, Kickapoo Rising Mission School",,"Horton, Kansas",KS,1871,1931,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kinlichee Indian School,"Kinlichee Day School, Kin Dah Lichi'i Olta', Kin Dah Lichii Olta' School",,"Ganado, Arizona",AZ,1932,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Klagetoh Boarding and Day School,,,"Klagetoh, Arizona",AZ,1932,1966,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Klamath Agency Boarding School,,,"Chiloquin, Oregon",OR,1874,1927,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kodiak Aleutian Regional High School,Kodiak Aleutian Regional School,,"Kodiak, Alaska",AK,1967,1973,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lac du Flambeau Boarding School,,,"Lac du Flambeau, Wisconsin",WI,1895,1932,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Laguna Sanatorium,,,"Laguna, New Mexico",NM,1911,1933,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lahainaluna Seminary,"Lahainaluna High School, Lahainaluna Trade School",,"Maui, Hawaii",HI,1831,,Contract or Mission,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lake Valley Navajo School,Lake Valley,,"Lake Valley, New Mexico",NM,1935,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Leech Lake Indian Boarding School,,,"Walker, Minnesota",MN,1867,1921,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lemhi Boarding School,Lemhi Boarding School Girls Dormitory,,"Lemhi, Idaho",ID,1885,1907,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Leupp Boarding and Day School,"Leupp Schools, Inc.",,"Leupp, Arizona",AZ,1909,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lincoln Institution for Boys,"Boys' Home of the Lincoln Institute, Educational Home for Boys",Lincoln Institution for Girls,"Philadelphia, Pennsylvania",PA,1866,1926,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Lincoln Institution for Girls,"Girls' Home of the Lincoln Institute, Lincoln Institute",Lincoln Institution for Boys,"Philadelphia, Pennsylvania",PA,1884,1926,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Low Mountain Boarding School,"Low Mountain Boarding School, Low Mountain Day School",Jeehdeez'a Academy,"Low Mountain, Arizona",AZ,1953,2007,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lower Brule Industrial Boarding School,,Lower Brule Boarding and Day School,"Oacoma, South Dakota",SD,1882,1895,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
