Index,Acreage_data Page,Pop_data Page,STATE/SUPERINTENDENCY,TRIBE,AGENCY,RESERVATION,YEAR,POPULATION,ACREAGE,SCHOOL,N_STUDENTS,DAY Y/N/B,BOARDING_N_ACC,DAY_N_ACC,STUDENTS_ENROLL,AVG_ATTENDANCE,N_MISSIONARIES,ARCHIVE NOTES,,
3999,,,,,"Pima, Maricopa, and Papago Agency",,1882,NA,181120 (a),NA,2000,NA,NA,NA,,NA,1,,,
4000,348,328,Arizona,Pima,"Pima, Maricopa, and Papago Agency",,1882,3908,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4001,348,328,Arizona,Maricopa,"Pima, Maricopa, and Papago Agency",,1882,331,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4002,348,328,Arizona,Apache,"Pima, Maricopa, and Papago Agency",,1882,10,NA,NA,Agency,NA,NA,NA,,NA,Agency,,,
4003,348,328,Arizona,Papago,"Pima, Maricopa, and Papago Agency",,1882,6000,70080 (a),NA,Agency,NA,NA,NA,,NA,Agency,population data: From report of 1881,,
4004,352,334,Indian Territory ,Pawnee,Pawnee Agency ,,1882,1251,283020 (a),NA,384,NA,NA,NA,,NA,NA,,,
4005,,340,Utah,Ute,Ouray Agency,,1882,1400,1912320 (a),NA,NA,NA,NA,NA,,NA,NA,,,
4006,352,334,Indian Territory ,Otoe and Missourias,Otoe Agency,,1882,274,129113 (a),NA,53,NA,NA,NA,,NA,0,,,
4007,,,,,Osage Agency,,1882,NA,1570196 (a),NA,NA,NA,NA,NA,,NA,,,,
4008,352,334,Indian Territory ,Osage,Osage Agency,,1882,1950,Agency,NA,575,NA,NA,NA,,NA,2,N_Students data: Boarding,,
4009,352,334,Indian Territory ,Kaw,Osage Agency,,1882,285,Agency,NA,75,NA,NA,NA,,NA,0,N_Students data: Boarding,,
4010,NA,334,Indian Territory ,Quapaw,Osage Agency,,1882,200,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4011,352,332,Idaho,Nez Perce ,Nez Perce Agency,,1882,1251,746651 (a),NA,380,NA,NA,NA,,NA,3,,,
4012,,,,,New York Agency,,1882,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4013,360,338,New York ,,New York Agency,Allegany Reserve,1882,NA,30469 (a),NA,174,NA,NA,NA,,NA,1,,,
4014,360,338,New York ,Seneca,New York AGency,Allegany Reserve,1882,826,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4015,360,338,New York ,Onondaga,New York AGency,Allegany Reserve,1882,110,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4016,360,338,New York ,Tonawanda,New York AGency,Allegany Reserve,1882,9,NA,NA,Reserve,NA,NA,NA,,NA,Reserve,*not included in acreage_data notes.,,
4017,,,New York ,,New York Agency,Cattaraugus Reserve,1882,NA,21680 (a),NA,328,NA,NA,NA,,NA,2,,,
4018,360,338,New York ,Seneca,New York Agency,Cattaraugus Reserve,1882,1412,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4019,360,338,New York ,Onondaga,New York Agency,Cattaraugus Reserve,1882,48,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4020,360,338,New York ,Cayuga,New York Agency,Cattaraugus Reserve,1882,156,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4021,360,338,New York ,Tuscarora,New York Agency,Cattaraugus Reserve,1882,4,NA,NA,Reserve,NA,NA,NA,,NA,Reserve,*not included in acreage_data notes,,
4022,360,338,New York ,Tonawanda,New York Agency,Cattaraugus Reserve,1882,14,NA,NA,Reserve,NA,NA,NA,,NA,Reserve,*not included in acreage_data notes,,
4023,360,338,New York ,Oneida ,New York Agency,Oneida Reserve,1882,186,288 (a),NA,36,NA,NA,NA,,NA,1,*not included in acreage_data notes,,
4024,360,338,New York ,Seneca,New York Agency,Corn-planter Reserve,1882,88,640 (a),NA,22,NA,NA,NA,,NA,1,,,
4025,,,New York ,,New York Agency,Onondaga Reserve,1882,NA,61000 (a),NA,125,NA,NA,NA,,NA,2,,,
4026,360,338,New York ,Onondaga,New York Agency,Onondaga Reserve,1882,335,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4027,360,338,New York ,Tonawanda,New York Agency,Onondaga Reserve,1882,3,NA,NA,Reserve,NA,NA,NA,,NA,Reserve,*not included in acreage_data notes. ,,
4028,360,338,New York ,Oneida,New York Agency,Onondaga Reserve,1882,67,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4029,360,338,New York ,St. Regis,New York Agency,St. Regis Reserve,1882,785,14640 (a),NA,182,NA,NA,NA,,NA,1,,,
4030,360,338,New York ,Tonawanda band of Seneca,New York Agency,Tonawanda Reserve,1882,597,7549 (a),NA,105,NA,NA,NA,,NA,1,,,
4031,360,338,New York ,,New York Agency,Tuscarora Reserve,1882,NA,5000 (a),NA,140,NA,NA,NA,,NA,1,,,
4032,360,338,New York ,Tuscarora,New York ,Tuscarora Reserve,1882,425,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4033,360,338,New York ,Onondaga,New York ,Tuscarora Reserve,1882,51,Reserve,NA,Reserve,NA,NA,NA,,NA,Reserve,,,
4034,358,,,,Nevada Agency,,1882,NA,NA,NA,800,NA,NA,NA,,NA,0,,,
4035,358,338,Nevada,Pi-Ute,Nevada Agency,,1882,3461,1000 (a),NA,Agency,NA,NA,NA,,NA,Agency,,,
4036,358,338,Nevada,Pah-Ute,Nevada Agency,,1882,570,322000 (a) + 318815 (a),NA,Agency,NA,NA,NA,,NA,Agency,Pah-Ute of Pyramid Lake (322000) and Pah Ute of Walker River (318815),,
4037,,342,,,Neah Bay Agency,,1882,NA,23040 (a),NA,264,NA,NA,NA,,NA,NA,,,
4038,,342,Washington,Makah,Neah Bay Agency,,1882,701,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4039,,342,Washington,Quillehute,Neah Bay Agency,,1882,318,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4040,358,338,New Mexico,Navajo ,Navajo Agency,,1882,16000,5468160 (a),NA,4000,NA,NA,NA,,NA,0,Population_data: From report of 1881,,
4041,NA,328,Arizona,Moquis Pueblo ,Moquis Pueblo Agency,,1882,1813,NA,NA,437,NA,NA,NA,,NA,2,,,
4042,,,,,Mission Agency,,1882,NA,152960 (a),NA,759,NA,NA,NA,,NA,0,,,
4043,348,328,California,Serranos,Mission Agency,,1882,381,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4044,348,328,California,Dieguenos,Mission Agency,,1882,731,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4045,348,328,California,Coahuila,Mission Agency,,1882,778,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4046,348,328,California,San Luis Rey,Mission Agency,,1882,1120,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4047,,,,,Mescalero and Jicarilla Agency,,1882,NA,NA,NA,175,NA,NA,NA,,NA,,,,
4048,358,338,New Mexico,Mescalero Apache,Mescalero and Jicarilla Agency,,1882,900,472320 (a),NA,Agency,NA,NA,NA,,NA,0,,,
4049,358,338,New Mexico,Jicarilla Apache,Mescalero and Jicarilla Agency,,1882,717,3072000 (a),NA,Agency,NA,NA,NA,,NA,0,,,
4050,,,,,Mackinac Agency,,1882,NA,66332 (a),NA,2211,NA,NA,NA,,NA,NA,,,
4051,356,336,Michigan ,Pottawatomies,Mackinac Agency,,1882,295,NA,NA,Agency,NA,NA,NA,,NA,1,Population_data: From report of 1881,,
4052,356,336,Michigan ,"Chippewa of Saginaw, Swan Creek, and Black River",Mackinac Agency,,1882,2500,Agency,NA,Agency,NA,NA,NA,,NA,1,Population_data: From report of 1881,,
4053,356,336,Michigan ,Ottawa and Chippewa,Mackinac Agency,,1882,6000,Agency,NA,Agency,NA,NA,NA,,NA,3,,,
4054,356,336,Michigan ,Chippewa of Lake Superior ,Mackinac Agency,,1882,1000,Agency,NA,Agency,NA,NA,NA,,NA,1,Population_data: From report of 1881,,
4055,350,332,Dakota,Lower Brule Sioux,Lower Brule Agency,,1882,1558,NA,NA,140,NA,NA,NA,,NA,2,,,
4056,350,332,Idaho,"Shoshone, Bannack, and Sheepeater",Lemhi Agency,,1882,750,64000 (a),NA,180,NA,NA,NA,,NA,0,,,
4057,,,,,La Point Agency,,1882,NA,537836 (a),NA,NA,NA,NA,NA,,NA,NA,Reservation partly in Minnesota,,
4058,,344,Wisconsin,Chippewa at Red Cliff,La Point Agency,,1882,730,Agency,NA,73,NA,NA,NA,,NA,NA,,,
4059,,344,Wisconsin,Chippewa at Bad River,La Point Agency,,1882,740,Agency,NA,94,NA,NA,NA,,NA,NA,,,
4060,,344,Wisconsin,Chippewa at Lac Courte d'Oreilles,La Point Agency,,1882,1093,Agency,NA,150,NA,NA,NA,,NA,2,,,
4061,,344,Wisconsin,Chippewa at Fond du Lac,La Point Agency,,1882,449,Agency,NA,NA,NA,NA,NA,,NA,NA,,,
4062,,344,Wisconsin,Chippewa at Grand Portage,La Point Agency,,1882,265,Agency,NA,50,NA,NA,NA,,NA,NA,,,
4063,,344,Wisconsin,Chippewa at Boise Forte,La Point Agency,,1882,674,Agency,NA,NA,NA,NA,NA,,NA,NA,,,
4064,,344,Wisconsin,Chippewa at Lac du Flambeau,La Point Agency,,1882,665,Agency,NA,NA,NA,NA,NA,,NA,1,,,
4065,360,,,,Klamath Agency,,1882,NA,1056000 (a),NA,261,NA,NA,NA,,NA,NA,,,
4066,360,340,Oregon,Klamath,Klamath Agency,,1882,707,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4067,360,340,Oregon,Modoc,Klamath Agency,,1882,151,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4068,360,340,Oregon,Snake,Klamath Agency,,1882,165,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4069,,,,,"Kiowa, Comanche, and Wichita Agency",,1882,NA,3712503,NA,800,NA,NA,NA,,NA,2,,,
4070,352,332,Indian Territory ,Kiowa,"Kiowa, Comanche, and Wichita Agency",,1882,1176,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4071,352,332,Indian Territory ,Wichita,"Kiowa, Comanche, and Wichita Agency",,1882,214,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4072,352,332,Indian Territory ,Towaconie,"Kiowa, Comanche, and Wichita Agency",,1882,152,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4073,352,332,Indian Territory ,Keechie,"Kiowa, Comanche, and Wichita Agency",,1882,78,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4074,352,332,Indian Territory ,Waco ,"Kiowa, Comanche, and Wichita Agency",,1882,49,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4075,352,332,Indian Territory ,Penetheka Comanche,"Kiowa, Comanche, and Wichita Agency",,1882,165,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4076,352,332,Indian Territory ,Delaware,"Kiowa, Comanche, and Wichita Agency",,1882,80,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4077,352,332,Indian Territory ,Caddo,"Kiowa, Comanche, and Wichita Agency",,1882,553,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4078,352,332,Indian Territory ,Apache,"Kiowa, Comanche, and Wichita Agency",,1882,340,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4079,352,332,Indian Territory ,Comanche,"Kiowa, Comanche, and Wichita Agency",,1882,1407,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4080,,344,Wisconsin,Winnebago,Indians in Wisconsin not under an agent,,1882,930,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4081,,344,Wisconsin,Pottawatomie (Prairie band),Indians in Wisconsin not under an agent,,1882,280,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4082,,344,Washington,Moses's band on Columbia Reservation,Indians in Washington Territory not under an agent,,1882,150,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4083,,342,Utah,Pah-Vant,Indians in Utah not under an agent,,1882,134,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4084,,342,Utah,Goship Ute,Indians in Utah not under an agent,,1882,256,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4085,,340,Texas,"Alabama, Cushatta, and Muskokee",Indians in Texas not under an agent,,1882,290,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4086,,340,Oregon,Indians roaming on Columbia River,Indians in Oregon not under an agent,,1882,800,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4087,,344,,Miami and Seminole,Indians in Indiana and Florida,,1882,892,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4088,NA,332,Idaho,Pend d'Oreille and Kootenais,Indians in Idaho not under an agent ,,1882,600,NA,NA,NA,NA,NA,NA,,NA,0,,,
4089,NA,330,California,Indians in Sierra County,Indians in California not under an agent,,1882,12,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4090,NA,330,California,Indians in El Dorado County,Indians in California not under an agent,,1882,193,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4091,NA,330,California,Indians in Mendocino County,Indians in California not under an agent,,1882,1240,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4092,NA,330,California,Indians in Shasta County,Indians in California not under an agent,,1882,1037,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4093,NA,330,California,Indians in Yolo County,Indians in California not under an agent,,1882,47,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4094,NA,330,California,Indians in Tehama County,Indians in California not under an agent,,1882,157,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4095,NA,330,California,Indians in Solano County,Indians in California not under an agent,,1882,21,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4096,NA,330,California,Indians in Lessen County,Indians in California not under an agent,,1882,330,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4097,NA,330,California,Indians in Colusa County,Indians in California not under an agent,,1882,353,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4098,NA,330,California,Indians in Humboldt County,Indians in California not under an agent,,1882,224,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4099,NA,330,California,Indians in Marin County,Indians in California not under an agent,,1882,162,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4100,NA,330,California,Indians in Sonoma County,Indians in California not under an agent,,1882,339,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4101,NA,330,California,Indians in Butte County,Indians in California not under an agent,,1882,522,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4102,NA,330,California,Indians in Plumas County,Indians in California not under an agent,,1882,508,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4103,NA,330,California,Indians in Placer County,Indians in California not under an agent,,1882,91,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4104,NA,330,California,Indians in Napa County,Indians in California not under an agent,,1882,64,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4105,NA,330,California,Indians in Sutter County,Indians in California not under an agent,,1882,12,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4106,NA,330,California,Indians in Amador County,Indians in California not under an agent,,1882,272,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4107,NA,330,California,Indians in Nevada County,Indians in California not under an agent,,1882,98,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4108,NA,330,California,Indians in Lake County,Indians in California not under an agent,,1882,774,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4109,NA,330,California,Klamaths - Regua Ranch,Indians in California not under an agent,,1882,64,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4110,NA,330,California,Klamaths - Wirks-wah Ranch,Indians in California not under an agent,,1882,19,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4111,NA,330,California,Klamaths - Hoppa Ranch,Indians in California not under an agent,,1882,22,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4112,NA,330,California,Klamaths - Wakel Ranch,Indians in California not under an agent,,1882,4,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4113,NA,330,California,Klamaths - Too rup Ranch,Indians in California not under an agent,,1882,15,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4114,NA,330,California,Klamaths - Sah-sil Ranch,Indians in California not under an agent,,1882,18,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4115,NA,330,California,Klamaths - Ai-yolch Ranch,Indians in California not under an agent,,1882,32,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4116,NA,330,California,Klamaths - Surper Ranch,Indians in California not under an agent,,1882,39,NA,NA,NA,NA,NA,NA,,NA,NA,,,
4117,348,328,Arizona,Hualapai,Indians in Arizona not under an agent,,1882,620,NA,NA,NA,NA,NA,NA,,NA,NA,population data: From report of 1881,,
4118,348,328,Arizona,Yuma,Indians in Arizona not under an agent,,1882,930,NA,NA,NA,NA,NA,NA,,NA,NA,population data: From report of 1881,,
4119,348,328,Arizona,Mohave,Indians in Arizona not under an agent,,1882,700,NA,NA,NA,NA,NA,NA,,NA,NA,population data: From report of 1881,,
4120,348,328,Arizona,Suppai,Indians in Arizona not under an agent,,1882,214,NA,NA,NA,NA,NA,NA,,NA,NA,population data: From report of 1881,,
4121,348,328,California,Hoopa ,Hoopa Valley Agency,,1882,510,89572 (a),NA,120,NA,NA,NA,,NA,NA,,,
4122,,344,,,Hampton Normal and Agricultural Insititute,,1882,NA,NA,NA,100,NA,NA,NA,,NA,NA,Boarding,,
4123,,344,Virginia,Sioux,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4124,,344,Virginia,Winnebago,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4125,,344,Virginia,Omaha,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4126,,344,Virginia,Menomonee,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4127,,344,Virginia,Gros Ventre,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4128,,344,Virginia,Mandan,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4129,,344,Virginia,Arickaree,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4130,,344,Virginia,Sac and Fox,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4131,,344,Virginia,Pawnee,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4132,,344,Virginia,Pima,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4133,,344,Virginia,Papago,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4134,,344,Virginia,Apache,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4135,,344,Virginia,Absentee Shawnee,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4136,,344,Virginia,Mohave ,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4137,,344,Virginia,Yuma,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4138,,344,Virginia,Onondaga,Hampton Normal and Agricultural Insititute,,1882,Agency,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4139,,344,Wisconsin,Oneida,Green Bay Agency,,1882,1500,65540 (a),NA,320,NA,NA,NA,,NA,NA,,,
4140,,344,Wisconsin,Stockbridge,Green Bay Agency,,1882,140,11520 (a),NA,17,NA,NA,NA,,NA,NA,,,
4141,,344,Wisconsin,Menomonee,Green Bay Agency,,1882,1500,231680 (a),NA,300,NA,NA,NA,,NA,4,,,
4142,,,,,Grand Ronde Agency,,1882,NA,61440 (a),NA,170,NA,NA,NA,,NA,1,,,
4143,360,338,Oregon,Clackama,Grand Ronde Agency,,1882,34,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4144,360,338,Oregon,Rogue River,Grand Ronde Agency,,1882,80,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4145,360,338,Oregon,Umpqua,Grand Ronde Agency,,1882,97,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4146,360,338,Oregon,Remnants of other tribes,Grand Ronde Agency,,1882,525,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4147,,,,,Fort Peck Agency ,,1882,NA,Inclulded,NA,1500,NA,NA,NA,,NA,2,Included in White Earth Agency,,
4148,356,336,Montana,Assinaboine,Fort Peck Agency ,,1882,1300,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4149,356,336,Montana,Yanktonnai Sioux,Fort Peck Agency ,,1882,3800,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4150,356,336,Montana,Santee Sioux,Fort Peck Agency ,,1882,600,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4151,356,336,Montana,Ogalalla and Teton Sioux,Fort Peck Agency ,,1882,314,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4152,,,,,Fort Hall Agency,,1882,NA,1202330 (a),NA,265,NA,NA,NA,,NA,0,,,
4153,350,332,Idaho,Bannack ,Fort Hall Agency,,1882,490,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4154,350,332,Idaho,Shoshone,Fort Hall Agency,,1882,1161,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4155,350,330,,,Fort Berthold Agency,,1882,NA,2912000 (a),NA,164,NA,NA,NA,,NA,1,,,
4156,350,330,Dakota,Arickarees,Fort Berthold Agency,,1882,672,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4157,350,330,Dakota,Gros Ventre,Fort Berthold Agency,,1882,454,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4158,350,330,Dakota,Mandans,Fort Berthold Agency,,1882,226,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4159,,,,,Fort Belknap Agency,,1882,NA,Inclulded,NA,300,NA,NA,NA,,NA,0,Included in White Earth Agency,,
4160,356,336,Montana,Gros Ventres,Fort Belknap Agency,,1882,950,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4161,356,336,Montana,Assinaboine,Fort Belknap Agency,,1882,850,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4162,,,,,Forest Grove School ,,1882,NA,NA,NA,150,NA,NA,NA,,NA,NA,,,
4163,,346,Oregon,Chehalis,Forest Grove School ,,1882,7,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4164,,346,Oregon,Chilcat,Forest Grove School ,,1882,1,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4165,,346,Oregon,Nisqually,Forest Grove School ,,1882,3,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4166,,346,Oregon,Oyster Bay,Forest Grove School ,,1882,2,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4167,,346,Oregon,Pitt River,Forest Grove School ,,1882,2,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4168,,346,Oregon,Pi-Ute,Forest Grove School ,,1882,1,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4169,,346,Oregon,Puyallup ,Forest Grove School ,,1882,22,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4170,,346,Oregon,Sitka,Forest Grove School ,,1882,4,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4171,,346,Oregon,Spokane,Forest Grove School ,,1882,18,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4172,,346,Oregon,Stickeen,Forest Grove School ,,1882,6,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4173,,346,Oregon,Snohomish ,Forest Grove School ,,1882,1,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4174,,346,Oregon,Tonga,Forest Grove School ,,1882,1,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4175,,346,Oregon,Umatilla,Forest Grove School ,,1882,10,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4176,,346,Oregon,Warm Spring,Forest Grove School ,,1882,1,NA,NA,School/Agency,NA,NA,NA,,NA,School/Agency,,,
4177,,,,,Flathead Agency,,1882,NA,1433600 (a),NA,430,NA,NA,NA,,NA,2,,,
4178,356,336,Montana ,Flathead,Flathead Agency,,1882,136,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4179,356,336,Montana ,Pend d'Oreille,Flathead Agency,,1882,820,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4180,356,336,Montana ,Kootenais,Flathead Agency,,1882,435,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4181,360,338,North Carolina,"Eastern Cherokee in North Carolina, South Carolina, Georgia, and Tennessee",Eastern Cherokee Special Agency,,1882,2200,65211 (a),NA,400,NA,NA,NA,,NA,NA,Population_data: From report of 1881; N_Students data: From report of 1881,,
4182,,,,,Devil's Lake Agency,,1882,NA,230400 (a),NA,170,NA,NA,NA,,NA,1,,,
4183,350,330,Dakota,Sisseton Sioux,Devil's Lake Agency,,1882,370,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4184,350,330,Dakota,Wahpeton Sioux,Devil's Lake Agency,,1882,353,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4185,350,330,Dakota,Cut Head Sioux,Devil's Lake Agency,,1882,210,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4186,350,330,Dakota,Lower Yanktonnais Sioux,Crow Creek Agency,,1882,988,620312 (a),NA,128,NA,NA,NA,,NA,1,,,
4187,356,336,Montana,Crow,Crow Agency,,1882,3500,4713000 (a),NA,715,NA,NA,NA,,NA,0,,,
4188,,,,,Colville Agency,,1882,NA,2953600 (a),NA,700,NA,NA,NA,,NA,8,,,
4189,,342,Washington,Colville,Colville Agency,,1882,670,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4190,,342,Washington,Lake,Colville Agency,,1882,333,NA,NA,Agency,NA,NA,NA,,NA,Agency,tribe not listed in Acreage data,,
4191,,342,Washington,O'Kanagan,Colville Agency,,1882,330,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4192,,342,Washington,San Poel,Colville Agency,,1882,400,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4193,,342,Washington,Methow,Colville Agency,,1882,315,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4194,,342,Washington,Spokane,Colville Agency,,1882,685,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4195,,342,Washington,Coeur d'Alene,Colville Agency,,1882,425,736320 (a),NA,Agency,NA,NA,NA,,NA,Agency,,,
4196,,342,Washington,Calispel,Colville Agency,,1882,400,Agency,NA,Agency,NA,NA,NA,,NA,Agency,,,
4197,,,,,Colorado River Agency,,1882,NA,300800 (a),NA,285,NA,NA,NA,,NA,NA,,,
4198,348,328,Arizona,Mohave,Colorado River Agency,,1882,812,Agency,NA,Agency,NA,NA,NA,,NA,0,Zero appear here first in data,,
4199,348,328,Arizona,Chimehuevis,Colorado River Agency,,1882,214,Agency,NA,Agency,NA,NA,NA,,NA,0,,,
4200,,,,,Cheyenne River Agency,,1882,NA,31728640 (a),NA,560,NA,NA,NA,,NA,2,,,
