year,STUSPS,ceded_acres,cumulative_ceded,total_acres_2021,prop_ceded
1884,ID,0,55449640.8192209,54000294.388454795,1
1886,ID,61336.1010222765,55510976.920243174,54000294.388454795,1
1887,ID,0,55510976.920243174,54000294.388454795,1
1888,ID,0,55510976.920243174,54000294.388454795,1
1889,ID,0,55510976.920243174,54000294.388454795,1
1890,ID,0,55510976.920243174,54000294.388454795,1
1891,ID,0,55510976.920243174,54000294.388454795,1
1892,ID,0,55510976.920243174,54000294.388454795,1
1893,ID,0,55510976.920243174,54000294.388454795,1
1784,IL,0,0,36088981.28482454,0
1785,IL,0,0,36088981.28482454,0
1788,IL,0,0,36088981.28482454,0
1790,IL,0,0,36088981.28482454,0
1791,IL,0,0,36088981.28482454,0
1794,IL,0,0,36088981.28482454,0
1795,IL,340655.54702466214,340655.54702466214,36088981.28482454,0.00943932288739633
1796,IL,0,340655.54702466214,36088981.28482454,0.00943932288739633
1797,IL,0,340655.54702466214,36088981.28482454,0.00943932288739633
1798,IL,0,340655.54702466214,36088981.28482454,0.00943932288739633
1801,IL,0,340655.54702466214,36088981.28482454,0.00943932288739633
1802,IL,0,340655.54702466214,36088981.28482454,0.00943932288739633
1803,IL,9472623.121160477,9813278.66818514,36088981.28482454,0.2719189713540524
