STUSPS,region,division,year,tot_pop,children,white_immig,white_non_immig,blk,blk_sharecrop,blk_farms,urban_pop,urban_immig_pop,tot_hh,police,teachers,socwork,inst_correctional,inst_mental,inst_poor_disabled
GA,South,South Atlantic,1930,2938553.5500008697,1225432.0499997193,43206.59999999987,1796708.0999994557,1096417.9499997788,511816.5000000412,560070.6000000262,893811.2999998722,9085.499999999996,2938553.5500008697,2431,20063,147,9449,6334,3552
ID,West,Mountain,1900,162205,68008,64812,90784,806,0,0,10432,805,162205,70,866,0,158,231,95
ID,West,Mountain,1910,326470,133603,108916,209822,0,0,0,74235,10227,326470,184,2229,6,430.25999999999993,143.42,0
ID,West,Mountain,1920,431844.78999998485,175632.03000000183,136331.74999999924,285857.9899999977,633.44,0,0,118412.52999999931,8699.149999999992,431844.78999998485,231,3797,19,388,368,200
ID,West,Mountain,1930,434488.8000000323,163034.25000000102,106704.14999999804,312440.2500000182,706.6500000000001,0,0,128812.1999999974,7773.1499999999905,434488.8000000323,349,5186,20,881,400,1313
IL,North Central,East North Central,1900,4751618,1833120,2421534,2235817,89357,3803,8725,2593328,730739,4761025,5269,29489,11,4847,7750,12738
IL,North Central,East North Central,1910,5612591,1974695,2899934,2588871,115651,1201,7228,3402221,945212,5621509,7458,35379,180,7457.840000000003,11043.33999999997,18429.46999999988
IL,North Central,East North Central,1920,6486072.200002702,2228306.860000077,3224439.9499999885,3071011.4900005055,174132.73999999577,2128.28,5990.780000000006,4406782.22000139,1033947.7900001638,6486072.200002702,9352,44130,652,4404,15155,19486
IL,North Central,East North Central,1930,7679165.550009617,2423304.749999919,3551017.2000019997,3761800.8000023887,326977.0500000199,5451.299999999995,7167.449999999992,5695296.150005956,1115901.2999997698,7679165.550009617,13346,60413,1226,11309,22014,27865
IN,North Central,East North Central,1900,2509584,958243,517872,1929614,60894,1000,4718,855572,82731,2513907,1294,15573,27,2533,3998,9641
IN,North Central,East North Central,1910,2690515,942866,536765,2085659,66178,2703,5508,1150559,106414,2694726,1762,18658,62,3442.0800000000013,3370.3700000000013,10541.369999999975
IN,North Central,East North Central,1920,2930641.9700001376,1005373.9700000233,533150.3600000163,2307455.8899998143,84959.3599999992,1238.2300000000005,2307.6700000000005,1477506.739999968,115981.44999999908,2930641.9700001376,2190,22170,157,2646,5244,9479
IN,North Central,East North Central,1930,3304093.500001544,1099749.2999997772,542707.2000000342,2639943.4500003187,106704.14999999804,605.7,1009.5000000000002,1839409.949999436,112660.19999999787,3304093.500001544,3556,28203,346,7808,7843,11614
IA,North Central,West North Central,1900,2197056,894418,955041,1227577,12735,301,902,543918,77337,2201666,864,22591,6,716,2392,5331
IA,North Central,West North Central,1910,2246247,815793,963297,1266093,15355,100,700,686821,88248,2256963,1070,24221,17,1362.4900000000002,4517.730000000001,5163.120000000002
IA,North Central,West North Central,1920,2403896.730000227,839432.7900000031,847179.1699999972,1529308.0900000383,19899.240000000016,201.33999999999997,400.02,876018.2500000199,89247.96999999935,2403896.730000227,1351,25504,91,1499,5091,5830
IA,North Central,West North Central,1930,2480240.550000024,832029.8999999007,753692.6999999369,1705853.0999994976,13224.450000000026,706.6500000000001,706.6500000000001,986483.3999998295,63901.34999999927,2480240.550000024,2192,29752,136,3899,6881,9266
KS,North Central,West North Central,1900,1466121,608050,408766,998408,55134,1506,9954,336495,26675,1468321,594,11015,2,1284,2228,3947
KS,North Central,West North Central,1910,1685982,640559,434731,1183208,54787,4217,6722,485685,34604,1688383,713,14834,18,2941.2000000000016,1721.0400000000004,4230.890000000001
KS,North Central,West North Central,1920,1766299.6400000409,638950.5699999947,391227.70999999956,1295021.9199999738,57620.77999999993,1291.58,2592.08,623928.6700000176,32039.770000000055,1766299.6400000409,952,18635,36,5128,3200,3667
KS,North Central,West North Central,1930,1857580.9499994277,632754.5999999926,337677.75000002113,1423294.049999628,68444.09999999915,2119.9500000000007,6157.949999999993,733603.6499999461,21704.250000000087,1857580.9499994277,1884,22714,94,8518,2814,7620
KY,South,East South Central,1900,2139915,951696,185156,1651103,301652,39515,75009,457743,35209,2143736,1101,8982,3,2121,2377,3738
KY,South,East South Central,1910,2333477,972975,173802,1892867,266106,33202,61699,580050,29364,2335482,1407,11443,48,5004.490000000008,3393.9900000000016,4403.410000000003
KY,South,East South Central,1920,2417331.399999836,1001621.5000000225,150236.1899999995,2032806.7200001027,232383.89000000103,38531.18999999999,72991.58000000015,641318.5100000603,21357.280000000057,2417331.399999836,1428,12930,76,1047,2949,3545
KY,South,East South Central,1930,2596837.800000239,1053917.9999997984,119524.79999999767,2233518.749999569,239958.1500000099,29881.200000000146,47648.39999999974,790438.4999999199,15041.55000000004,2596837.800000239,2142,17979,183,6296,5895,6717
LA,South,West South Central,1900,1390589,649404,151901,576225,642283,253707,312483,364487,29582,1390589,753,4302,0,568,1307,1982
LA,South,West South Central,1910,1701440,781683,165238,776601,733732,223433,309749,514168,32002,1703647,1030,6838,10,1843.5599999999995,1598.8100000000002,3800.6300000000015
LA,South,West South Central,1920,1794129.740000072,772764.7300000619,159768.449999998,895671.0800000847,714935.1300000617,289243.18999999895,371624.43000000215,630140.8200000903,32495.91999999989,1794129.740000072,1038,9457,67,999,2722,2050
LA,South,West South Central,1930,2099053.3499993207,822136.7999999053,126692.24999999747,1131245.6999997627,803662.9499999138,312238.3500000182,373615.9500000253,836471.6999998987,21199.500000000084,2099053.3499993207,1989,14849,123,2616,4575,4001
ME,Northeast,New England,1900,686471,219472,203596,481173,302,0,0,246019,61271,689888,285,6153,0,515,936,3674
ME,Northeast,New England,1910,764894,247970,270187,489881,2416,0,1111,306200,76625,766498,396,6748,4,645.39,1219.0700000000002,3728.9200000000014
ME,Northeast,New England,1920,767985.5099999905,247132.3099999919,257589.58999999333,508768.28000000655,836.0500000000002,0,527.95,318194.2299999959,61807.03000000018,767985.5099999905,443,6783,21,79,0,1852
ME,Northeast,New England,1930,793870.7999999183,266003.25000001286,277511.5500000142,512523.1500000413,1918.0500000000006,302.85,605.7,459928.2000000352,73996.34999999899,793870.7999999183,811,7711,48,669,1065,3773
MD,South,South Atlantic,1900,1169993,466740,280038,663125,225229,17541,42394,597396,77614,1171495,1074,6114,7,1425,2334,4252
MD,South,South Atlantic,1910,1289800,477764,315677,734078,238136,17043,44403,659723,86438,1291810,1484,7096,29,2041.61,3095.340000000001,4731.160000000006
MD,South,South Atlantic,1920,1452913.2699998491,510037.0699999832,299070.2299999984,904719.2699998807,248399.13999999777,31051.210000000163,56513.099999999984,873207.8299998533,79154.36000000067,1452913.2699998491,1822,8749,204,2452,1446,4455
MD,South,South Atlantic,1930,1633471.949999531,550581.3000000305,314964.0000000185,1043822.999999803,269435.55000001326,28669.800000000138,42600.899999999885,962255.3999998407,78438.14999999886,1633471.949999531,2808,11459,242,4126,4863,6553
MA,Northeast,New England,1900,2805778,900571,1722883,1047481,31202,0,1100,1909695,627866,2811989,3186,16948,63,7285,8039,10057
MA,Northeast,New England,1910,3337567,1068530,2172386,1125584,31276,700,1301,2294573,753070,3347418,4580,23669,234,8963.749999999995,10326.239999999978,16995.2699999999
MA,Northeast,New England,1920,3853000.1299990327,1263195.7800001341,2564734.5400005607,1230950.9800001283,45699.61000000011,503.65000000000003,1013.9000000000001,2717099.770000283,820770.2299999198,3853000.1299990327,6181,28361,776,3361,11968,13942
MA,Northeast,New England,1930,4279068.600003343,1334558.999999669,2811760.3500006357,1413602.8499996325,42802.79999999988,100.95,1009.5000000000002,4094229.150003002,1050586.6499998,4279068.600003343,8593,39713,1190,6531,20173,23607
MI,North Central,East North Central,1900,2464035,934049,1405379,1033977,16438,1810,3714,976525,271141,2471040,1218,15130,8,2154,2048,8099
MI,North Central,East North Central,1910,2821657,995077,1587666,1208622,17454,0,1204,1351852,355237,2825973,1656,20499,39,2868.400000000001,3011.820000000001,11909.05999999996
MI,North Central,East North Central,1920,3668238.349998723,1260849.029999923,1970831.6099994495,1618182.759999711,69781.16999999905,709.9,2137.96,2258632.6399991377,547917.5799999761,3668238.349998723,3294,26926,264,2434,7736,7134
MI,North Central,East North Central,1930,4811176.050004325,1650936.299999523,2305798.949999702,2316701.5499997223,162125.7000000009,706.6500000000001,2624.7,3278250.3000014964,677071.6499999722,4811176.050004325,7414,40090,772,10888,9172,20907
MN,North Central,West North Central,1900,1788181,741279,1335148,440196,4609,0,0,646611,184050,1815445,1022,12620,5,1635,2736,2758
MN,North Central,West North Central,1910,2075336,796214,1497648,559136,7519,0,300,823737,235152,2088174,1506,19267,21,2438.140000000001,4876.280000000002,7197.000000000002
MN,North Central,West North Central,1920,2385599.929999837,881919.4200000126,1557132.7099999674,814252.650000022,4752.57,86.45,86.45,1065930.850000069,251532.6400000107,2385599.929999837,1920,23416,201,851,2729,1764
MN,North Central,West North Central,1930,2574023.100000197,893710.3499998723,1437628.9499996214,1106109.1499997743,12214.950000000019,1009.5000000000002,1716.1500000000005,1261975.9499997024,218152.95000000737,2574023.100000197,2904,26998,451,3540,8404,12066
MS,South,East South Central,1900,1545210,760207,27670,619567,894468,567425,692416,121450,2403,1545513,356,5585,1,472,1211,413
MS,South,East South Central,1910,1802574,844543,28989,738403,1027645,638231,790061,210535,3806,1803675,536,7851,5,3298.660000000001,1936.1700000000005,932.2300000000001
MS,South,East South Central,1920,1792898.5899998338,815230.5899999645,29938.939999999995,815626.7399999724,943989.5099999357,625817.0299999904,739068.3799999772,243349.09999999934,4409.579999999997,1792898.5899998338,545,10808,12,909,659,747
MS,South,East South Central,1930,1954694.8499993829,820824.4499999059,24429.900000000107,946810.0499998478,973965.5999998352,612160.8000000021,723912.4499999506,329601.7500000202,3129.449999999999,1954694.8499993829,1041,13814,24,2303,3505,2709
MO,North Central,West North Central,1900,3121821,1303189,752746,2201160,164009,10726,34015,1117612,150194,3124125,2433,16190,6,1237,3976,6240
MO,North Central,West North Central,1910,3358448,1253923,787806,2409593,154925,7924,18154,1464354,188797,3367778,3161,20789,38,3226.950000000001,4517.730000000001,10039.399999999981
MO,North Central,West North Central,1920,3404892.770001737,1189922.4899999322,684146.1599999145,2542331.6700004153,169591.63000000155,11212.13999999999,16319.450000000017,1597513.799999755,144252.4600000011,3404892.770001737,3438,24782,246,2793,5452,8417
MO,North Central,West North Central,1930,3624609.7500021355,1158502.1999997501,620539.6499999983,2773298.4000005648,219061.50000000748,25136.550000000112,29275.500000000142,1825075.0499994427,121139.99999999763,3624609.7500021355,4505,29737,429,6078,6671,16653
MT,West,Mountain,1900,234265,78743,127989,88546,1402,200,200,84955,26786,234865,270,1254,0,156,541,475
MT,West,Mountain,1910,371410,114240,202955,146622,3708,0,0,139180,32776,373219,359,2658,3,860.5200000000001,932.2300000000001,573.68
MT,West,Mountain,1920,548867.1399999922,206440.64000000048,266784.92000000225,266349.4200000038,1073.94,0,328.95,166637.83999999936,35630.00999999979,548867.1399999922,452,5647,14,740,1311,1467
MT,West,Mountain,1930,547149.0000000321,194126.8500000046,237838.20000000965,288010.3500000154,1514.2500000000005,0,0,177772.95000000272,29578.350000000144,547149.0000000321,545,6607,20,1365,1569,1871
NE,North Central,West North Central,1900,1029281,435122,474589,547176,3112,0,202,247546,47600,1033696,435,9237,3,584,1041,1033
NE,North Central,West North Central,1910,1183098,462507,539096,627249,11331,0,0,297007,54380,1185308,553,11783,11,430.25999999999993,1075.65,1936.1700000000005
NE,North Central,West North Central,1920,1296024.9599999434,479958.500000014,521778.52000001445,757251.779999955,10003.729999999998,1345.36,1345.36,409248.8899999882,61502.20000000016,1296024.9599999434,686,14476,32,434,2144,2247
NE,North Central,West North Central,1930,1400580.2999996385,485367.60000003816,488900.85000003857,886139.0999998758,15849.150000000045,504.75,504.75,483853.350000038,43913.24999999985,1400580.2999996385,1387,17233,80,1859,3720,4133
NV,West,Mountain,1900,46521,14737,24062,16752,200,0,100,7221,1105,46521,38,388,0,0,194,32
NV,West,Mountain,1910,74551,17569,34519,29296,100,0,0,21369,4007,74551,148,625,3,71.71,143.42,0
NV,West,Mountain,1920,77399.36999999973,25785.900000000063,31104.900000000085,36980.28000000014,612.54,0,0,19559.250000000076,2923.559999999998,77399.36999999973,106,668,0,35,0,102
NV,West,Mountain,1930,98123.39999999829,26247.00000000012,32707.800000000167,50878.79999999965,100.95,0,0,36745.800000000054,4340.849999999997,98123.39999999829,147,935,3,276,261,141
NH,Northeast,New England,1900,408426,126218,158709,249115,302,0,0,160118,51637,409934,181,3129,3,481,516,1509
NH,Northeast,New England,1910,441506,141352,215099,225403,201,0,0,209539,67062,442006,217,3272,4,1577.6200000000003,573.68,3083.530000000001
NH,Northeast,New England,1920,443063.1499999707,138617.1099999984,217140.8000000022,222028.98000000214,2118.3400000000006,0,0,225671.26000000237,62101.27000000044,443063.1499999707,297,3675,16,539,1448,1408
NH,Northeast,New England,1930,474868.80000003695,156573.45000000027,221686.20000000778,251769.30000001125,403.8,0,0,319506.75000001903,64910.84999999924,474868.80000003695,519,4463,39,173,1963,2155
NJ,Northeast,Middle Atlantic,1900,1943655,699299,1044358,826688,68194,1203,3710,1383979,371917,1947776,1979,8972,9,NA,NA,NA
NJ,Northeast,Middle Atlantic,1910,2508175,870388,1433236,972301,97123,2304,5316,1871311,533795,2510980,3436,14489,35,4159.180000000001,4804.5700000000015,10541.369999999975
NJ,Northeast,Middle Atlantic,1920,3155743.2199997953,1118773.3000000543,1860225.7000000705,1164409.870000099,113039.30999999774,3846.6200000000017,5653.299999999994,2466996.9199996917,635007.5700000214,3155743.2199997953,5311,20398,263,2486,8123,9101
NJ,Northeast,Middle Atlantic,1930,4011349.200002849,1298822.6999996854,2246238.4499995923,1525051.649999581,220171.9500000076,2019.0000000000007,3937.0499999999975,3082205.4000011347,697160.6999999629,4011349.200002849,9231,33402,682,2384,11497,12566
NM,West,Mountain,1900,201043,89845,18627,62456,1703,0,0,22753,2504,201043,76,552,0,252,0,26
NM,West,Mountain,1910,316531,134053,30317,150269,2403,0,0,43368,3717,317031,159,1683,1,459.5400000000004,0,122.18000000000002
NM,West,Mountain,1920,360218.369999998,150154.84999999814,26844.410000000025,175087.82999999815,6334.510000000005,0,935.4500000000002,65427.80000000031,2261.57,360218.369999998,213,3029,8,352,384,117
NM,West,Mountain,1930,405415.20000002894,166264.6500000014,27458.40000000013,187363.20000000382,3937.0499999999975,504.75,504.75,100243.34999999823,2826.5999999999995,405415.20000002894,261,4118,24,700,641,797
NY,Northeast,Middle Atlantic,1900,7143264,2439368,4221887,2788203,99361,701,3409,5234308,1635560,7171553,9929,40775,68,7791,27084,49484
NY,Northeast,Middle Atlantic,1910,9024545,2955622,5658926,3194109,129066,600,2105,7128737,2424330,9043710,15405,60285,341,13409.76999999994,30333.329999999736,70706.05999999978
NY,Northeast,Middle Atlantic,1920,10385524.73998834,3398752.3300014148,6493138.729997005,3624683.0300007276,193358.09000000544,0,505.6,8615177.939989295,2572297.010001083,10385524.73998834,18993,75080,1625,5919,32975,37296
NY,Northeast,Middle Atlantic,1930,12510127.799980506,3750292.5000023674,7620412.650009508,4320458.100003419,418538.70000003045,3129.449999999999,3836.0999999999976,10497184.799995363,2923713.9000008423,12510127.799980506,29697,106886,3502,19706,53564,56561
NC,South,South Atlantic,1900,1879271,902880,14145,1248710,608205,230996,328645,197756,1306,1879271,447,5780,1,905,1305,2091
NC,South,South Atlantic,1910,2182013,1032373,14964,1465233,690598,241899,368096,334417,5029,2182615,642,9206,17,3112.250000000004,2014.78,2727.8700000000013
NC,South,South Atlantic,1920,2559231.5499998312,1204992.300000037,20869.399999999983,1751664.6200000097,776688.6699999964,340627.4299999936,475256.00999998307,491689.1400000152,4936.830000000002,2559231.5499998312,858,14788,50,1421,3905,4041
NC,South,South Atlantic,1930,3177906.0000013113,1420265.5499996294,30789.750000000153,2225341.7999995537,898656.89999987,383610.0000000264,508182.3000000408,815070.2999999085,6258.899999999993,3177906.0000013113,1814,24604,133,4169,3416,8707
ND,North Central,West North Central,1900,323427,150683,252149,62039,1000,100,100,26584,7533,323427,140,2435,0,170,394,170
ND,North Central,West North Central,1910,555508,228756,385468,165818,500,0,0,59601,14346,559611,243,5241,0,358.54999999999995,501.9699999999999,1003.9400000000002
ND,North Central,West North Central,1920,646838.1799999927,292853.10999999865,432236.619999988,207652.59999999922,95.37,0,0,77786.65000000026,15384.360000000008,646838.1799999927,263,7582,3,183,1416,239
ND,North Central,West North Central,1930,676364.9999999725,280136.2500000145,403699.05000002874,262470.00000001246,403.8,100.95,201.9,110843.09999999792,15546.300000000043,676364.9999999725,548,9826,24,437,0,1143
OH,North Central,East North Central,1900,4171085,1529660,1419300,2662933,85138,3408,10315,1984043,328547,4173398,2850,27542,43,4375,6685,23266
OH,North Central,East North Central,1910,4726992,1582461,1613422,2989747,120622,1907,10731,2687624,471463,4739320,4212,33180,130,4446.020000000001,11473.599999999964,28540.579999999758
OH,North Central,East North Central,1920,5759075.600000661,1934263.3400000348,1918137.5799999682,3649050.819999463,184744.04999999842,3952.870000000001,7824.140000000006,3663156.709999869,574512.3399999965,5759075.600000661,6245,39603,594,5038,8883,23210
OH,North Central,East North Central,1930,6648970.800007716,2208886.9499995233,2005371.7499993595,4326414.15000343,299518.6500000167,3533.249999999998,8378.849999999991,4519834.350003787,544625.2500000333,6648970.800007716,7981,53440,1435,15076,16966,28558
OK,South,West South Central,1900,779201,373393,77437,590653,52198,14108,31550,61870,2605,779302,180,1719,0,85,32,92
OK,South,West South Central,1910,1688086,765539,144523,1329587,133862,40543,64914,328197,9137,1692586,983,9922,2,1686.8200000000013,1003.9400000000002,737.060000000001
OK,South,West South Central,1920,2028179.6500003887,896084.8399999831,143227.18999999965,1686767.8700003412,142665.00999999978,42735.20000000017,66504.86999999998,527374.8900000069,9744.929999999986,2028179.6500003887,1073,15450,36,663,325,973
OK,South,West South Central,1930,2433500.699999938,976590.299999834,126995.09999999746,2025864.59999935,171816.90000000203,63800.399999999274,73895.39999999899,825670.0499999037,11104.500000000011,2433500.699999938,2117,22455,80,3983,4976,4200
OR,West,Pacific,1900,412804,151043,144789,246852,1000,0,0,126337,28177,412904,238,3275,1,566,1224,256
OR,West,Pacific,1910,688359,213295,244764,425146,804,0,100,308363,58883,690864,524,5746,2,215.13,1864.4600000000005,2438.140000000001
OR,West,Pacific,1920,786342.0299999987,254674.94999999795,270638.89999999735,495725.000000049,1745.7199999999996,0,0,392445.2400000241,61128.15999999911,786342.0299999987,707,7517,36,714,589,1302
OR,West,Pacific,1930,964072.4999998398,289423.65000001556,304869.00000001735,640426.7999999891,1009.5000000000002,0,0,491929.3500000389,64305.14999999926,964072.4999998398,1160,10264,82,1520,3732,2963
PA,Northeast,Middle Atlantic,1900,6245921,2378951,2405768,3679939,153096,904,5221,3422056,687590,6257360,5112,31930,42,6131,9038,25281
PA,Northeast,Middle Atlantic,1910,7670145,2817937,3306273,4156533,196194,3003,4706,4656159,1028803,7694007,8482,44622,222,10469.659999999976,11545.309999999963,35353.02999999968
PA,Northeast,Middle Atlantic,1920,8717444.199992698,3238007.5400013193,3704784.1500019813,4706106.90000224,292010.42000000115,2536.36,6051.489999999998,5591451.77999873,1029006.509999917,8717444.199992698,11465,57506,859,2422,16120,28775
PA,Northeast,Middle Atlantic,1930,9658593.150001552,3463998.300001839,3827519.25000251,5378212.200005371,431662.20000003197,4946.549999999996,8984.549999999996,6359446.200007182,928840.9499998561,9658593.150001552,14152,76937,1781,13469,22176,41896
RI,Northeast,New England,1900,422251,145590,268541,141189,11119,0,200,296827,95447,422552,527,2276,2,1508,799,1437
RI,Northeast,New England,1910,538689,181220,366042,161329,11318,0,300,387959,131387,539593,648,3110,13,645.39,1075.65,2438.140000000001
RI,Northeast,New England,1920,604387.5299999488,204922.81000000535,419398.6599999808,179158.91000000172,5616.659999999996,0,0,424620.17999998154,137254.5999999989,604387.5299999488,851,3879,70,728,238,1478
RI,Northeast,New England,1930,671317.4999999749,231276.4500000089,460432.9500000353,196347.75000000486,12214.950000000019,504.75,504.75,656074.0499999819,171715.95000000202,671317.4999999749,1172,5275,154,1017,0,3084
SC,South,South Atlantic,1900,1340230,680512,14743,530878,793904,390799,509346,178887,3107,1340630,451,4168,0,734,1141,1293
SC,South,South Atlantic,1910,1557079,763217,25175,659840,869351,411676,530161,245392,5108,1558886,649,6216,6,1147.3600000000001,1147.3600000000001,3083.530000000001
SC,South,South Atlantic,1920,1681541.659999652,810558.6600000027,20527.41999999998,768915.6699999791,891543.0600000173,522064.4399999966,645384.4399999869,296314.760000008,3804.2000000000003,1681541.659999652,683,8549,53,751,2318,1046
