STUSPS,region,division,year,tot_pop,children,white_immig,white_non_immig,blk,blk_sharecrop,blk_farms,urban_pop,urban_immig_pop,tot_hh,police,teachers,socwork,inst_correctional,inst_mental,inst_poor_disabled
SC,South,South Atlantic,1930,1736440.9499994835,797706.8999999166,19988.100000000075,931566.5999998548,782362.4999999236,406828.5000000291,492736.950000039,367155.1500000245,4239.899999999997,1736440.9499994835,1162,13527,69,2158,3278,2870
SD,North Central,West North Central,1900,385937,171306,230541,135841,100,0,100,44745,9326,386237,224,3698,0,247,586,94
SD,North Central,West North Central,1910,575250,228987,313812,238948,2415,302,1002,70807,10731,576859,331,5325,1,870.9200000000002,1117.2500000000005,788.8100000000001
SD,North Central,West North Central,1920,636519.4400000114,254814.20000000237,301593.36000000744,311725.76000000106,805.1299999999999,620.6899999999999,711.5,98586.09999999947,10780.720000000012,636519.4400000114,295,7559,8,271,23,1247
SD,North Central,West North Central,1930,704227.1999999597,259340.55000001212,294572.10000001616,383610.0000000264,1009.5000000000002,100.95,100.95,138907.19999999824,10700.700000000008,704227.1999999597,618,9777,14,173,1733,2312
TN,South,East South Central,1900,2014934,911178,60761,1483327,470545,127349,194250,331702,11827,2015739,766,7152,2,1551,1207,2595
TN,South,East South Central,1910,2190770,959439,63680,1639016,485771,149811,213253,448841,13746,2196805,1092,10443,5,2829.4200000000023,2143.2800000000007,6161.930000000001
TN,South,East South Central,1920,2345732.249999909,978663.3500000335,52392.54999999976,1857250.1399999391,433428.73000002425,137717.29999999914,188605.93000000244,626559.5000000101,8783.690000000008,2345732.249999909,1192,12743,66,2087,1596,3900
TN,South,East South Central,1930,2636713.0500003127,1036655.5499998063,48153.149999999725,2086131.7499993222,496472.10000003944,147992.69999999928,187060.3500000038,916323.1499998618,9489.3,2636713.0500003127,2075,19273,167,4408,2392,7891
TX,South,West South Central,1900,3106274,1509948,343883,1977106,620409,247090,373470,534380,32990,3107074,1239,13917,0,1652,2827,3048
TX,South,West South Central,1910,3891939,1759840,385273,2516101,748900,269140,384798,950389,41417,3897350,1768,22529,18,6116.38,3720.470000000005,6124.290000000004
TX,South,West South Central,1920,4658184.2800006075,1940753.2499997981,417159.2299999855,3027045.220000064,737380.2200000059,292697.8799999977,404652.74999999726,1528425.2500000463,53915.92999999996,4658184.2800006075,2244,32338,90,4505,6654,5221
TX,South,West South Central,1930,5864589.300006269,2277028.199999649,410967.4500000296,3870221.1000025887,849696.1499998926,304061.40000001725,420759.6000000307,2378079.1499998355,47446.499999999745,5864589.300006269,4130,49977,249,8941,11573,7331
UT,West,Mountain,1900,274417,131728,164049,103857,1402,0,0,106220,21672,274619,147,1656,1,241,303,221
UT,West,Mountain,1910,393819,166196,204035,177956,3301,0,0,187203,34489,394828,260,3114,3,573.68,501.9699999999999,573.68
UT,West,Mountain,1920,449374.00000000023,196110.27999999883,191527.709999997,246680.58000000342,2382.74,0,206.58,223215.83999999758,35467.70000000016,449374.00000000023,345,3958,16,435,0,318
UT,West,Mountain,1930,515551.65000004164,219263.4000000075,162125.7000000009,338283.4500000212,1514.2500000000005,0,0,266003.25000001286,23622.3000000001,515551.65000004164,461,5320,42,553,907,783
VT,Northeast,New England,1900,344125,113841,119658,222760,1303,0,200,98650,18950,344825,103,2981,0,126,1002,353
VT,Northeast,New England,1910,341650,111226,124743,215603,800,100,100,120307,26160,341750,125,3353,3,788.8100000000001,717.1,573.68
VT,Northeast,New England,1920,351845.45999998145,120067.11000000213,138878.83000000232,211764.71000000442,0,0,0,143403.18000000253,24051.27999999998,351845.45999998145,130,3346,7,34,850,371
VT,Northeast,New England,1930,348580.3500000224,112054.49999999789,126187.49999999748,218960.55000000747,807.6000000000001,0,0,190189.80000000415,29174.55000000014,348580.3500000224,302,3559,25,775,1739,861
VA,South,South Atlantic,1900,1787572,795918,45117,1100327,639522,109542,272886,321664,9120,1788984,757,8481,3,1833,3021,5355
VA,South,South Atlantic,1910,2073884,910126,60256,1315328,696899,93304,287326,479734,13141,2076487,1031,11040,6,4100.150000000006,2796.690000000001,6196.900000000002
VA,South,South Atlantic,1920,2309780.4400003017,976213.6899999953,89961.20999999934,1517858.2400000326,697422.830000004,130966.81000000023,305532.02000000706,677872.8199999545,18155.000000000055,2309780.4400003017,1548,15113,85,1930,5020,3697
VA,South,South Atlantic,1930,2421891.4499999164,964274.3999998397,69352.64999999912,1704742.6499994982,642849.599999988,116294.39999999777,254898.7500000116,797202.1499999168,13224.450000000026,2421891.4499999164,2215,19273,181,4299,5888,7576
WA,West,Pacific,1900,518243,188518,239752,257208,2304,0,101,223143,50936,523358,391,3485,1,712,0,674
WA,West,Pacific,1910,1190609,364124,576141,581172,5409,0,100,652649,159862,1214336,1052,8597,11,3155.240000000001,1936.1700000000005,2556.650000000001
WA,West,Pacific,1920,1357522.6399998853,444378.16000002355,614819.8800000355,704245.6500000429,5667.480000000002,0,293.79,730561.8600000051,156654.79000000143,1357522.6399998853,1327,12029,125,1574,3662,2290
WA,West,Pacific,1930,1575223.799999558,482339.1000000378,657083.5499999814,868270.949999884,7470.299999999991,201.9,201.9,874630.7999998811,150617.3999999996,1575223.799999558,1994,14933,145,5261,4855,4402
WV,South,South Atlantic,1900,970778,432339,66381,855740,47354,600,4815,117492,6429,970778,346,4921,2,1047,1637,1040
WV,South,South Atlantic,1910,1231109,537819,117968,1040550,71284,1206,4513,241800,16944,1233209,669,8471,9,1721.0400000000004,2223.0100000000007,1649.3300000000004
WV,South,South Atlantic,1920,1464349.0499998627,626742.1099999667,155100.14000000243,1218430.9799999157,88022.20000000022,2088.960000000001,6575.129999999996,368890.5299999795,22702.22000000003,1464349.0499998627,729,11302,33,744,2678,1348
WV,South,South Atlantic,1930,1707771.1499994968,721186.7999999519,149708.84999999948,1433691.8999996232,115688.69999999779,1716.1500000000005,3836.0999999999976,487386.6000000384,21199.500000000084,1707771.1499994968,1338,16492,73,4439,3779,2460
WI,North Central,East North Central,1900,2078130,875499,1487052,578346,3003,0,100,788308,218607,2080840,897,14275,5,1010,3876,7942
WI,North Central,East North Central,1910,2305175,881131,1569725,723616,2210,200,300,1016440,270979,2307475,1216,19437,23,2299.9200000000005,4230.890000000001,8103.230000000003
WI,North Central,East North Central,1920,2629044.07000012,976726.5299999904,1557992.859999971,1055055.9199999936,3153.579999999999,510.90000000000003,588.6800000000001,1245398.9100000372,246348.52999999817,2629044.07000012,1522,20138,89,1979,5763,8483
WI,North Central,East North Central,1930,2945115.300000882,1025147.2499998116,1481340.2999996012,1428139.6499996257,13527.300000000028,0,0,1563917.3999995631,242078.10000001013,2945115.300000882,4212,26602,305,3904,5768,16550
WY,West,Mountain,1900,96568,35504,42020,49827,903,0,0,28473,5009,96568,77,495,0,44,90,100
WY,West,Mountain,1910,137292,44519,63385,70190,1610,0,0,40832,8132,138194,121,960,0,71.71,0,0
WY,West,Mountain,1920,194391.45999999632,74423.00999999902,71518.48999999913,117162.97999999873,653.16,0,0,53640.919999999605,7433.6200000000035,194391.45999999632,120,1873,2,416,253,130
WY,West,Mountain,1930,225522.30000000822,77933.39999999887,60166.19999999938,156270.60000000024,807.6000000000001,0,0,70261.1999999991,6864.599999999992,225522.30000000822,235,2913,8,401,481,493
